Date,Open,High,Low,Close,Volume
2017-12-28 00:00:00,12974.64,12994.27,12823.14,12852.14,21977
2017-12-29 00:00:00,12881.14,12889.64,12838.77,12852.14,7275
2018-01-01 00:00:00,12875.64,12939.14,12732.64,12757.64,29501
2018-01-02 00:00:00,12758.64,12917.64,12757.14,12872.64,20701
2018-01-03 00:00:00,12898.64,13017.14,12881.14,12992.64,17801
2018-01-04 00:00:00,13103.64,13202.14,13085.64,13163.64,17301
2018-01-05 00:00:00,13292.14,13338.64,13269.64,13331.64,9851
2018-01-07 00:00:00,13364.64,13408.14,13338.14,13361.64,13701
2018-01-08 00:00:00,13362.14,13408.52,13327.64,13387.14,13677
2018-01-09 00:00:00,13387.64,13420.14,13318.14,13323.14,13951
2018-01-10 00:00:00,13323.64,13329.14,13218.14,13264.64,16301
2018-01-11 00:00:00,13264.64,13292.64,13142.64,13207.14,24251
2018-01-12 00:00:00,13206.64,13257.64,13156.64,13231.14,17751
2018-01-14 00:00:00,13256.64,13260.52,13181.14,13206.64,10877
2018-01-15 00:00:00,13208.14,13293.14,13163.14,13283.14,18501
2018-01-16 00:00:00,13282.64,13344.64,13125.14,13211.64,36801
2018-01-17 00:00:00,13212.14,13250.14,13127.14,13232.14,22601
2018-01-18 00:00:00,13231.14,13407.64,13196.14,13397.14,25701
2018-01-19 00:00:00,13396.64,13468.14,13383.64,13458.14,10751
2018-01-21 00:00:00,13452.64,13459.64,13404.14,13416.64,7501
2018-01-22 00:00:00,13416.14,13594.14,13409.14,13575.64,21051
2018-01-23 00:00:00,13576.14,13583.14,13511.64,13542.14,10901
2018-01-24 00:00:00,13542.64,13569.64,13343.64,13389.64,29901
2018-01-25 00:00:00,13388.64,13438.64,13215.64,13299.14,35651
2018-01-26 00:00:00,13298.64,13384.14,13265.64,13382.64,15301
2018-01-28 00:00:00,13365.64,13368.02,13266.64,13288.14,12527
2018-01-29 00:00:00,13287.64,13351.14,13204.64,13296.64,28401
2018-01-30 00:00:00,13296.14,13296.14,13166.14,13232.14,19601
2018-01-31 00:00:00,13232.64,13292.64,13154.14,13199.14,24351
2018-02-01 00:00:00,13198.64,13241.14,12814.64,12823.14,47751
2018-02-02 00:00:00,12824.64,12875.14,12687.14,12702.64,25401
2018-02-04 00:00:00,12595.64,12609.64,12523.64,12597.64,17001
2018-02-05 00:00:00,12706.14,12740.64,11932.64,12402.14,131201
2018-02-06 00:00:00,12401.64,12640.64,12315.64,12588.64,46301
2018-02-07 00:00:00,12452.14,12642.64,12410.14,12453.64,46351
